YSTZ	YSHZ	SJLTZ	SJLHZ	第四季度营收变化	第四季度利润变化	市盈率	市净率	股价变动	市净率百分位	市盈率百分位	净现比	WEIGHTAVG_ROE	XSMLL	label
159.1589537	42.8387	1985.04	-86.9095	1880.410419	-0.449235402	41.25159642	1.829759103	-0.454655089	0	0	0.061498648	4.54	75.29810065	1
-40.45235955	82.9526	-305.91	-1398.3932	-0.419016653	-3.282607186	-7.121212121	0.998506761	-0.262331839	0	0	-0.566699841	-12.78	37.90256946	0
-25.5948595	185.8686	-14.28	-19.6833	-0.217379516	3.914220357	91.56378601	7.422637901	0.167249563	0.724179104	0	-9.055049654	8.51	19.40823532	0
1.902452363	5.2206	45.28	-84.3433	0.139697766	-7.661171612	28.8	2.164790478	0.611424917	0.323418517	0.558022623	3.557008701	7.91	30.23813211	1
55.02935197	-13.0115	155.44	-159.9204	1.655590938	-0.801109485	384.057971	133.9790108	-0.240169306	0.05108055	0.33546169	1.036255841	42.01	12.41826689	0
7.455192931	23.4333	11.44	-5.0743	0.102694149	1.774364273	20.22759602	1.78322821	-0.154146839	0.037357631	0	0.707274267	8.99	9.756505443	0
-4.132057923	-4.6601	25.09	17.42	0.106119019	-0.050041639	385.0622407	7.814858155	-0.004851146	0.278949836	0.227379278	8.751120406	2.05	11.35011956	0
-25.68038023	34.7183	-73.75	28.3636	-0.10269963	-0.884173179	113.3781764	4.989722694	-0.188025692	0	0.08343763	1.891706316	4.48	24.77691889	0
14.55719602	-4.667	36.22	-42.1169	0.346807332	1.133717282	15.06505027	1.557977385	-0.316187197	0.139371381	0.001240695	1.30614983	10.78	37.80448017	0
-1.741356804	-2.6026	134.19	-91.5793	0.142603376	-8.647519556	12.41025641	1.707859521	0.80180819	0.883711167	0.151973132	1.66877738	14.57	28.82803674	0
-14.62968075	-57.2738	-32.58	-78.6874	-0.802732259	-0.908714461	10.43243243	1.16769413	0.079648375	0.044556536	0.296763346	-0.981701193	11.08	65.02241598	0
-48.99280001	-17.8709	-6.66	-1105.4577	1.319902901	-0.202840652	-3.903291582	0.327346749	-0.101508661	0	0	-0.536530153	-8.05	13.08863167	0
48.29853914	127.7972	-64.26	420.5299	0.462555123	-2.318552341	20.86483932	0.745581808	-0.087360961	0	0.715121512	4.363543808	3.6	27.24983626	0
-2.280627991	3.1439	89.37	-52.1894	0.228627403	3.242460464	113.8571429	1.462979925	-0.005803232	0.216384684	0.429652716	0.054325049	1.36	13.97208282	0
-17.22438971	704.0324	-21.28	2421.7702	-0.098579028	-0.125332963	11.96715373	2.898331043	-0.271439987	0	0.107095047	2.70933501	35.46	56.64848746	1
5.178946275	27.6976	33.36	54.7912	0.123443501	0.846326844	21.36381919	5.056189848	0.901056689	0.195570414	0.149185123	1.914572032	26.92	8.671056404	0
-3.464850582	-24.0656	77.79	-49.8536	-0.045271586	-2.192687397	15.05408209	0.743877042	-0.30421319	0.000450248	0	4.025284253	5.05	19.42828952	0
-0.880084917	3.6321	9.86	141.9077	-0.012642871	-0.144314484	13.14285714	0.928362659	0.092754562	0.004997918	0.243231987	1.440570218	7.26	19.16117563	0
-31.24149349	-31.8623	-684.99	-1950.7129	-0.291393358	3.700656432	-11.11538462	0.713838913	-0.194200474	0.001331558	0	-1.556802562	-5.62	65.03678615	0
-5.99786302	7.6594	-66.95	-296.7825	-0.144048629	1.118612866	270	3.676386368	-0.083233743	0.500504541	0.784056509	9.385579742	1.37	29.84020559	1
13.76287214	-2.6208	-0.88	-9.4428	0.09341613	0.148826596	22.17384023	2.501184106	0.088193253	0.115534401	0.147987884	-0.769589504	11.71	9.891019398	0
-3.543294114	3.6577	-239.79	-776.9896	0.045144525	2.071758236	-30.81818182	1.586264789	-0.270295203	0.104079933	0	-5.454727236	-4.72	11.61156872	0
-21.27413691	1.5191	-95.27	-0.1287	-0.132810311	-0.211581447	640.1459854	1.508185872	0.138257108	0.468208092	1	17.84270286	0.23	6.380517691	0
16.77034393	165.2709	20.22	-15.1367	-0.167033318	-0.886904965	8.455284553	1.377870191	0.098867925	0.510350655	0.000844951	-0.114274809	14.31	23.81877474	0
-24.29107955	-7.8747	4.15	-90.4635	-0.264124805	-0.532276967	39.22764228	1.795403002	-0.102365344	0.270403957	0.424567189	0.315469321	4.68	10.53130279	0
-12.8662067	-17.5611	-60.26	-570.5159	-0.127676035	-0.735103944	-5.199161426	23.90801005	-0.221602232	0.99536608	0	-0.289867178	-133.76	14.11999291	1
2.566901612	5.4685	28.17	156.501	0.049758079	4.723515281	22.78061992	1.671684969	0.066054185	0.149546106	0	2.822411694	7.57	34.66287792	1
-2.661881722	85.3747	-28.65	-3443.961	-0.124746501	2.954464557	106.8333333	3.648991601	2.262086514	0.802721088	0.386185243	2.725057937	4.26	31.20898437	0
4.627847698	210.4994	0.2	314.4546	0.605909987	1.517607857	95.83333333	1.527936322	-0.367204696	0.338888889	0.698717949	10.4984253	1.7	9.915393728	1
28.29393301	-10.436	191.67	909.2138	0.756862381	-0.417122722	33.15276273	1.330716066	0.197428492	0.162102473	0.344964664	-0.525070645	4.02	14.42005061	1
-8.481135562	15.7711	-80.4	-53.4369	0.159638818	-0.810797367	212.5714286	4.100361907	1.999136193	0.961027458	1	6.09071162	1.98	5.954278395	1
3.121467414	87.7238	52.16	29.6895	-0.114476254	0.229791288	20.77172229	1.715781369	0.022176022	0.198728814	0.263135593	1.094207029	8.42	20.18050489	0
-5.700640008	140.8482	-25.75	-1.6961	-0.164904203	-5.189638493	315.8181818	8.748608432	2.806125851	0.375056281	0.572264746	-0.795511286	2.93	32.31172478	0
-7.093341892	29.7561	-356.61	81.9862	0.132592908	-3.530559647	-24.9070632	1.873486827	0.136969697	0.182466443	0	-0.437134409	-8.06	7.294982915	1
90.32331943	61.3676	122.39	-19462.1127	-0.03236276	-13.63888059	14.80539303	1.192192284	0.358150906	0.291000841	0.00883095	-8.366201367	8.32	26.98673004	0
-5.834403684	10.8333	-29.56	-55.8923	-0.030413529	1.28667761	0	0	-1	0	0	10.88461324	47.49	10.68625359	1
-24.17811235	209.932	-40.93	48.8868	-0.517399605	0.179941817	17.73809524	1.963473796	0.056672422	0.895796848	0.454028021	3.002017361	8.27	56.14589183	1
-60.21323296	-5.3555	-933.99	-1925.2177	-0.358135598	0.125741129	-28.52173913	1.75625624	0.34334471	0.143699958	0	0.232216006	-5.92	-12.58820647	0
40.04224705	56.7003	123.07	205.707	0.644926608	2.091992819	4.669815524	0.943658206	-0.004253009	0.08538163	0	0.557784708	16.47	10.37352317	0
-4.833944342	9.3346	15.36	483.4125	0.034203895	1.495632425	40.28960818	2.709106305	0.176477555	0.057742782	0.122047244	2.73064543	6.95	15.96081529	1
67.76863255	779.1364	-7.75	6243.3245	0.719953126	-0.181227302	5.517997442	1.171200137	0.07144009	0	0	-6.156601608	23.24	26.59407533	0
21.44801087	61.8509	7.58	-137.3784	0.320500889	0.907438851	48.32657201	1.558093041	0.137490053	0.154916929	0.261338123	6.566786589	3.3	17.57834877	1
-9.758440903	17.3168	-67.24	-105.2344	0.14404099	-1.124455637	352.8846154	8.825012901	0.186200112	0.345679012	0.492753623	2.633266031	2.54	11.71060996	0
-76.44831817	-14.2602	-192.76	-597.9152	-0.728626678	-5.288214139	-36.05555556	3.703085196	0.603760408	0.499777084	0	1.773228372	-9.58	15.23079915	0
-18.785662	-22.6257	215.09	198.6778	-0.114843496	-1.264704203	81.94627917	25.49207019	-0.116653858	0.615344193	0.012611666	3.829044653	36.46	25.82609393	1
12.43289479	64.0337	22.61	-35.9335	0.051422489	-0.4448757	11.57692308	1.80678469	-0.150117647	0.016795866	0	1.896034295	16.64	20.59838027	0
7.229374311	-15.6835	89.81	-91.3511	-0.130763822	-0.797250526	8.836187967	1.356057207	0.418804567	0.29475043	0.009466437	1.042169545	16.8	27.48904732	0
48.82552953	12.1763	123.63	-98.0848	1.280039787	-1.022776739	13.93665158	1.553550792	0.810243493	0.291906236	0	0.749804145	11.8	-14.15126542	0
12.20459441	14.3487	7.04	2.9684	0.324291939	0.341094674	27.01986755	1.367194453	0.338610561	0	0.447225699	1.245704244	5.82	19.99085831	0
6.12260997	-3.2236	-5.72	-68.9692	0.056985115	-0.340573194	10.5	1.081280704	-0.19751861	0	0	1.193409859	10.85	14.71683974	0
9.823325756	64.7134	19.63	267.9046	-0.076562262	0.060918301	35.02	3.334897061	0.163307919	0.769230769	0.308704453	0.242687633	9.94	37.59778989	0
51.50666737	23.3701	56.9	-30.4074	0.674662094	0.030059756	23.35294118	1.104788246	0.066248881	0	0.080791426	-1.429606573	4.96	35.73751876	0
-0.738810938	17.3929	3.34	11.263	0.181812939	-0.021269594	30.55172414	1.849768897	0.110212451	0.386192469	0.046025105	1.776388135	6.31	21.48184142	0
2.840674868	11.7614	-18.64	41.2775	0.159226458	0.166724234	32.8	1.888842708	-0.090267272	0.063432836	0.53358209	2.503632911	8.22	16.23692126	0
-14.59676713	0.1789	-62.3	-66.6499	0.117687137	-0.63535908	28.64583333	0.881966135	0.1712299	0	0.36287953	7.08527968	3.05	26.16511741	1
3.035521994	216.3474	6.56	2574.8076	0.0490746	0.05854002	41.75	2.570377376	0.019550839	0.038859033	0.106242249	0.944976189	6.36	37.89936348	0
21.08432413	-9.5676	17.91	13.5479	0.238137667	0.206153943	18.49710983	1.075437813	-0.095315024	0.002585093	0	-1.685265559	6.02	0	1
12.25150854	-6.8104	110.01	19.6671	0.171657277	1.748461711	57.60171306	1.328521671	0.231389646	0.163853438	0.435570193	4.802313775	2.4	15.0618783	1
-70.02985992	36.5597	-1667.094003	-1684.0375	-0.64605036	-4.839186986	-4.58240946	1.706803789	0.847682119	0.953699876	0	-0.082241287	-31.39	19.06942402	0
-9.484926078	30.3462	-278.43	-379609.7099	0.763528743	0.495090748	-15.14488792	1.12269203	0.03321492	0.016508461	0	-2.271049823	-7.08	24.06115746	1
46.66783653	-10.7951	22.25	-39.9798	0.203009958	0.002325758	8.702508961	1.339968041	0.240704691	0.121638395	0.127430699	0.27773321	15.78	19.05134241	0
11.89871229	11.1447	9.29	-23.7125	0.080596836	-0.091135971	15.18181818	1.48733113	0.050471769	0.161971831	0.022065728	2.168855061	10.9	38.38996179	1
5.865404172	8.5694	12.86	-86.9311	0.14471062	-0.473652425	18.63662961	1.364735356	0.931417846	0.216356556	0.189528343	2.062464566	7.53	48.41739895	0
-34.1624373	-0.1096	103.43	387.5707	-0.422166175	-1.260506575	214	2.620347381	-0.083792049	0.001349528	0.32388664	-17.0537502	3.37	-7.578149549	0
-10.1671297	7.6067	-92.95	119.9386	-0.126279173	-9.388733131	472	1.601595092	-0.387374631	0.250208855	0.695488722	42.26825916	0.3	39.15957683	1
11.00840374	14.4289	20.08	-33.314	0.042176836	0.718173909	11.76744186	1.231005764	0.045146061	0.064262023	0.002487562	2.142695402	11.04	40.01781733	1
7.199486461	-3.9974	88.56	-172.7419	0.192198305	-0.873137792	-105.5	1.042808968	0.072751483	0.076666667	0	-2.460796711	-0.92	11.47995162	1
1.830631411	31.5649	44.61	-68.8513	-0.067266442	-0.595349085	12.86821705	0.94964611	0.496779734	0.325832973	0.281263522	2.847371022	7.84	20.75330395	0
-43.53829556	3.8632	-35.19	-27.2164	-0.381217382	0.056708275	33.57142857	4.374171126	0.215866628	0.262332872	0.535730751	2.066350992	13.53	45.85415823	0
-0.359551454	-0.8029	432.52	-8.5137	0.016184978	1.500774676	21.28151261	2.502728569	1.738174223	0.565437788	0.12718894	1.45981826	12.41	16.26127042	0
-0.701378215	-27.3357	-75.13	-172.4684	-0.298016574	-0.374429011	523.1884058	7.459708872	-0.176157357	0.209115282	0.460455764	2.362789584	1.45	6.352180922	0
