YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,净现比,WEIGHTAVG_ROE,XSMLL,label
55.02935197,-13.0115,155.44,-159.9204,1.655590938,-0.801109485,384.057971,133.9790108,-0.240169306,0.05108055,0.33546169,1.036255841,42.01,12.41826689,0
-17.22438971,704.0324,-21.28,2421.7702,-0.098579028,-0.125332963,11.96715373,2.898331043,-0.271439987,0,0.107095047,2.70933501,35.46,56.64848746,1
5.178946275,27.6976,33.36,54.7912,0.123443501,0.846326844,21.36381919,5.056189848,0.901056689,0.195570414,0.149185123,1.914572032,26.92,8.671056404,0
-5.834403684,10.8333,-29.56,-55.8923,-0.030413529,1.28667761,0,0,-1,0,0,10.88461324,47.49,10.68625359,1
-18.785662,-22.6257,215.09,198.6778,-0.114843496,-1.264704203,81.94627917,25.49207019,-0.116653858,0.615344193,0.012611666,3.829044653,36.46,25.82609393,1
12.43289479,64.0337,22.61,-35.9335,0.051422489,-0.4448757,11.57692308,1.80678469,-0.150117647,0.016795866,0,1.896034295,16.64,20.59838027,0
7.229374311,-15.6835,89.81,-91.3511,-0.130763822,-0.797250526,8.836187967,1.356057207,0.418804567,0.29475043,0.009466437,1.042169545,16.8,27.48904732,0
29.40835631,129.4986,23.86,215.6701,0.627130039,0.52961817,5.223076923,1.042448875,-0.147800622,0.163117547,0,2.089985496,23.26,23.16212009,0
34.59801911,216.3256,29.85,138.5277,0.51972753,0.403357109,5.241666667,0.974738262,-0.096388015,0.187022901,0,4.301825673,20.76,20.05745907,1
-13.21859309,25.6596,-13.11,1.2682,-0.300632562,-0.352791194,7.641732283,2.330685402,-0.154686852,0.027906977,0.118272425,0.974625963,33.55,48.59606535,1
2.903470453,2.7067,11.84,5.0563,0.152037361,0.384570318,16.81666667,3.590800138,-0.261922557,0.968466523,0.615982721,1.934702005,22.92,17.63367365,0
8.277592502,14.1948,2.06,66.9644,0.199837475,0.143458424,7.124284971,1.394143325,0.44973545,0.41063009,0.174024861,1.646689914,21.26,12.18492644,0
4.92169624,3175.1106,113.92,1097.8159,-0.659006237,-1.359180142,0,0,-1,0,0,7.879647814,15.05,12.79711208,0
9.277328151,13.759,47.58,-6.9951,0.15237203,0.532282812,46.39249639,8.629545173,0.21714154,1,0.664660361,1.297299331,20.18,27.95853393,0
16.01117194,28.764,2.21,3.4304,0.132810619,0.571490314,11.81272509,1.743859877,-0.118580447,0.004472272,0.004472272,0.934460718,15.62,27.9673026,1
20.78631363,72.6089,64.15,9.9777,0.28496599,0.392623569,134.1705221,23.08632873,5.655841621,1,0.829888028,1.932707729,18.63,78.87043453,0
-10.27996354,2.639,-7.31,-20.378,19.19397838,6.87245239,8.055403681,0.181825781,-0.208029292,0,0.078661088,22.67542506,17.86,28.34510091,0
48.34021589,51.4944,3.52,-29.7359,0.593172908,0.055935679,11.41558442,2.085955834,0.677785857,0.420069505,0.011294526,2.242716385,19.23,2.015366737,1
1.171484559,-14.9443,42.46,-31.5607,-0.063418954,0.27554987,27.60483871,4.107950338,0.557571321,0.557842734,0.185673117,2.531399904,15.79,60.84604208,0
12.62770567,-16.4351,18.29,-91.7355,0.137126053,-0.759762615,12.53118122,1.999261169,0.136862124,0.046532046,0.01975417,1.194155323,17.28,30.38636563,0
