YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,label
11.29619159,-3.2901,2.6,-25.1147,0.056514286,0.427634456,10.40714286,0.961081794,-0.32199652,0.327118644,0.802118644,0
159.1589537,42.8387,1985.04,-86.9095,1880.410419,-0.449235402,41.25159642,1.829759103,-0.454655089,0,0,1
-40.45235955,82.9526,-305.91,-1398.3932,-0.419016653,-3.282607186,-7.121212121,0.998506761,-0.262331839,0,0,0
-25.5948595,185.8686,-14.28,-19.6833,-0.217379516,3.914220357,91.56378601,7.422637901,0.167249563,0.724179104,0,0
1.902452363,5.2206,45.28,-84.3433,0.139697766,-7.661171612,28.8,2.164790478,0.611424917,0.323418517,0.558022623,1
7.455192931,23.4333,11.44,-5.0743,0.102694149,1.774364273,20.22759602,1.78322821,-0.154146839,0.037357631,0,0
-4.132057923,-4.6601,25.09,17.42,0.106119019,-0.050041639,385.0622407,7.814858155,-0.004851146,0.278949836,0.227379278,0
-25.68038023,34.7183,-73.75,28.3636,-0.10269963,-0.884173179,113.3781764,4.989722694,-0.188025692,0,0.08343763,0
14.55719602,-4.667,36.22,-42.1169,0.346807332,1.133717282,15.06505027,1.557977385,-0.316187197,0.139371381,0.001240695,0
-1.741356804,-2.6026,134.19,-91.5793,0.142603376,-8.647519556,12.41025641,1.707859521,0.80180819,0.883711167,0.151973132,0
13.00068685,6.7368,10.57,14.1677,0.254844231,0.310458132,12.89602446,1.294357417,0.009104583,0.028211806,0,0
-36.6349839,-36.0561,-47.47,-10.019,-0.384185044,-0.190776563,28.54653189,2.181821765,0.090293454,0.051703163,0.175182482,0
1.31092801,57.9229,11.25,60.1091,-41.53697366,0.171886758,56.55555556,2.928366907,0.190709591,0.703566466,0.469661881,0
-14.62968075,-57.2738,-32.58,-78.6874,-0.802732259,-0.908714461,10.43243243,1.16769413,0.079648375,0.044556536,0.296763346,0
48.29853914,127.7972,-64.26,420.5299,0.462555123,-2.318552341,20.86483932,0.745581808,-0.087360961,0,0.715121512,0
-2.280627991,3.1439,89.37,-52.1894,0.228627403,3.242460464,113.8571429,1.462979925,-0.005803232,0.216384684,0.429652716,0
-17.22438971,704.0324,-21.28,2421.7702,-0.098579028,-0.125332963,11.96715373,2.898331043,-0.271439987,0,0.107095047,1
-3.464850582,-24.0656,77.79,-49.8536,-0.045271586,-2.192687397,15.05408209,0.743877042,-0.30421319,0.000450248,0,0
-31.24149349,-31.8623,-684.99,-1950.7129,-0.291393358,3.700656432,-11.11538462,0.713838913,-0.194200474,0.001331558,0,0
-5.99786302,7.6594,-66.95,-296.7825,-0.144048629,1.118612866,270,3.676386368,-0.083233743,0.500504541,0.784056509,1
13.76287214,-2.6208,-0.88,-9.4428,0.09341613,0.148826596,22.17384023,2.501184106,0.088193253,0.115534401,0.147987884,0
-3.543294114,3.6577,-239.79,-776.9896,0.045144525,2.071758236,-30.81818182,1.586264789,-0.270295203,0.104079933,0,0
-21.27413691,1.5191,-95.27,-0.1287,-0.132810311,-0.211581447,640.1459854,1.508185872,0.138257108,0.468208092,1,0
16.77034393,165.2709,20.22,-15.1367,-0.167033318,-0.886904965,8.455284553,1.377870191,0.098867925,0.510350655,0.000844951,0
-12.8662067,-17.5611,-60.26,-570.5159,-0.127676035,-0.735103944,-5.199161426,23.90801005,-0.221602232,0.99536608,0,1
2.566901612,5.4685,28.17,156.501,0.049758079,4.723515281,22.78061992,1.671684969,0.066054185,0.149546106,0,1
-2.661881722,85.3747,-28.65,-3443.961,-0.124746501,2.954464557,106.8333333,3.648991601,2.262086514,0.802721088,0.386185243,0
4.627847698,210.4994,0.2,314.4546,0.605909987,1.517607857,95.83333333,1.527936322,-0.367204696,0.338888889,0.698717949,1
-8.481135562,15.7711,-80.4,-53.4369,0.159638818,-0.810797367,212.5714286,4.100361907,1.999136193,0.961027458,1,1
3.121467414,87.7238,52.16,29.6895,-0.114476254,0.229791288,20.77172229,1.715781369,0.022176022,0.198728814,0.263135593,0
2.818554142,-5.2858,5.53,-30.9058,0.275657111,2.625075395,5.875763747,1.090101652,0.323130608,0.304920914,0,0
14.66500951,65.0304,15.9,101.3522,0.40996426,1.481552844,99.49960495,19.27263048,0.191010899,0.991953182,0.365764448,1
-36.32996487,-63.6285,3.84,-78.3359,-0.319171548,-0.576810029,13.86554622,0.79221355,0.127615063,0.023563456,0.092186854,0
